t_sim_s,x,y,phi,v,delta,ref_idx,a_raw,a
538.8192,49.24024200439453,70.11128234863281,-1.2045232599608109,4.083898283938421,0.2418631559802545,1613,0.015251394056885378,0.0015597937421080055
538.9267,49.44007110595703,69.72234344482422,-1.172401009840602,4.084534061948501,0.2618732021603873,1618,0.01806582163066117,0.006822130955666739
539.0216,49.62811279296875,69.3876724243164,-1.1424319254617223,4.087554806236467,0.2733490507292713,1622,0.01722102466207125,0.005908987421253299
539.1369,49.87335968017578,68.98714447021484,-1.104476819922022,4.088153921332468,0.2808523788463523,1627,0.00448366754833922,0.007807522563790616
539.2309,50.08699417114258,68.66532135009766,-1.0727372660504575,4.088493237854334,0.2837901703014223,1632,-0.0027641503255615893,0.01184785858710624
539.3157,50.28651428222656,68.38432312011719,-1.044108284332106,4.087659691254258,0.286947443657096,1636,0.007053232831230987,0.008797087422087542
539.4337,50.57732009887695,68.00460052490234,-1.003818119148624,4.089923633472508,0.2912350415187986,1641,0.018578486764280235,0.0019394758012121008
539.5205,50.8030891418457,67.730712890625,-0.973704691438662,4.091464565343582,0.2918419118868001,1646,-0.008460705677907882,-0.0006567836181395615
539.6336,51.11033630371094,67.38328552246094,-0.9343756610925898,4.088232338407495,0.2904982952484327,1651,-0.024698303201637455,0.0005297059488238191
539.7198,51.35028839111328,67.12969207763672,-0.9050430722142392,4.086542193515496,0.284352164849501,1655,0.004716445348160082,0.0009413010861717493
539.8311,51.67031478881836,66.81078338623047,-0.8684973115234088,4.089163836363756,0.2659941678193505,1660,0.02341043658302912,-0.0006012952067842203
539.92,51.935203552246094,66.56053924560547,-0.8405570232629515,4.091228962919418,0.2542472256056514,1665,-0.00398926697040665,-0.0013846888527234888
540.0297,52.26947021484375,66.26142883300781,-0.807334354980322,4.088371567943433,0.2521085332336189,1670,-0.01716746280775174,-0.0015879836301304442
540.123,52.55890655517578,66.01795196533203,-0.7793208297898875,4.087743967969443,0.2539049314205858,1674,0.012615762245379719,-0.0015613826673617271
540.2142,52.85030746459961,65.78651428222656,-0.7516135681248121,4.090699176077705,0.2552315261962239,1679,0.013168981078194995,-0.00026378419278021647
540.3278,53.22482299804688,65.508056640625,-0.7166116419179006,4.090440975294257,0.2593004978017594,1684,-0.020389932917243222,0.0005996245304458661
540.4189,53.52896499633789,65.29737091064453,-0.68832594166406,4.086525356809545,0.2663378455996754,1688,-0.014197176749582346,5.184433432032815e-05
540.5305,53.90963745117188,65.052978515625,-0.6526132177622065,4.0875632075671176,0.2761928123223126,1694,0.014321612689731714,-0.0005795761524747194
540.6188,54.22028350830078,64.86913299560547,-0.6230369496441135,4.089388247186222,0.287510075387202,1698,0.008054266198042241,0.0015217688837206613
540.7284,54.61554718017578,64.65462493896484,-0.5849297776061697,4.08915714684771,0.2980050823536618,1703,-0.0036393569344705663,0.005465757023568822
540.816,54.93375778198242,64.49727630615234,-0.5539813157364134,4.088670565998744,0.3036600182303481,1707,0.005001561024532595,0.008317614977038
540.9336,55.36928939819336,64.3024673461914,-0.5117042992216779,4.090183467169944,0.3074077044525182,1713,0.02025499273815012,0.010995615557469328
541.0148,55.67757034301758,64.17799377441406,-0.4819812909275216,4.092697258555089,0.3092399486798209,1717,0.009553398735753041,0.012219847574177033
541.1233,56.09539413452149,64.02631378173828,-0.4419980550596714,4.091995746910117,0.3105058291108577,1722,-0.004718348142548524,0.010704346975416563
541.2273,56.4967041015625,63.89836120605469,-0.40402044580876,4.091694609574797,0.3104621366289857,1727,0.019854357976748626,0.007734488896314568
541.3132,56.83338928222656,63.80376434326172,-0.3724919474535844,4.095766089489903,0.3104621366289857,1731,0.03346906000140401,0.004582386799602017
541.4237,57.2740364074707,63.69684600830078,-0.3316390563317689,4.098267932959074,0.3104621366289857,1736,-0.0009442414221708165,0.001519999279887489
541.5304,57.70046615600586,63.61135482788086,-0.2924490429945988,4.095561000253007,0.3104621366289857,1742,-0.025711523136914893,-0.0042070582885219265
541.6162,58.04402160644531,63.55509567260742,-0.2610606269127614,4.093318464755218,0.3104621366289857,1746,-0.01460783402619856,-0.010393877321945055
541.7486,58.58130645751953,63.48895263671875,-0.212246482028263,4.0923735708684905,0.3108988065748949,1752,9.669404610439459e-05,-0.012908129918135754
541.8319,58.92222213745117,63.46074676513672,-0.1813615365505051,4.093339321660963,0.3116412874835065,1756,-0.017546369642365573,-0.01137060962837034
541.9191,59.27513885498047,63.44289779663086,-0.1493928176671394,4.089381914844468,0.3116412874835065,1760,-0.025021714720613326,-0.010576940676797424
542.0287,59.71773910522461,63.43650817871094,-0.109383615978661,4.088415048203948,0.3096327076814487,1765,-0.00657079152114927,-0.010517991450246698
542.1344,60.14950942993164,63.44636535644531,-0.0709386219564406,4.087967223429964,0.3009615341395313,1770,-0.012365260045644887,-0.0037352343696673788
542.22,60.50061798095703,63.46518325805664,-0.0407269236022547,4.086049573957215,0.2877264988140747,1773,0.0012368588858552164,0.006424241240387423
542.3254,60.9265022277832,63.49966812133789,-0.0058954397051084,4.0882034634771625,0.2700779220479194,1778,0.02469969357062527,0.007684487030698871
542.4337,61.36298751831055,63.5474967956543,0.0279115261206844,4.091327898473258,0.2589576392554696,1783,0.030935507682268385,0.005871224507052772
542.5162,61.6975212097168,63.593597412109375,0.0535505768832043,4.094105958342942,0.260886735150922,1787,0.00018088880754569056,0.012107906377718997
542.6312,62.162391662597656,63.673152923583984,0.0900602517412641,4.0913636240127484,0.2711965770202483,1792,-0.008298851718858071,0.015808401577413943
542.7386,62.588905334472656,63.76345443725586,0.1249344793739062,4.092260293720668,0.2785216398112914,1797,0.03786954053024612,0.008725509207781347
542.8282,62.94358444213867,63.85163879394531,0.1549200753515444,4.098823923497207,0.2842224527939435,1802,0.02259156035324602,0.004929685469691407
542.9138,63.281986236572266,63.94696044921875,0.1841392135674577,4.096218335094557,0.287510075387202,1806,-0.03968285173263006,0.010280047346923381
543.027,63.72117233276367,64.0875015258789,0.222831215780783,4.09093497257276,0.2892419725478053,1811,0.0028705763255143903,0.010713259950159686
543.1261,64.09912109375,64.2242202758789,0.2567690759741532,4.096827758448463,0.2907149735481162,1815,0.046692930711003694,0.0064162441219346375
543.2165,64.4426040649414,64.36125183105469,0.2880901140804117,4.099783282942493,0.2913217164797122,1820,-0.015049346527506524,0.00628138241969396
543.3168,64.8193359375,64.52635955810547,0.3229847148953929,4.093957848065668,0.2920586812124875,1824,-0.03355928394536794,0.004778890363024647
543.4248,65.21488952636719,64.71710968017578,0.3603157086336331,4.0927928840966725,0.2921020460007455,1829,0.05200093248424215,-0.004724232206996633
543.5319,65.60155487060547,64.92163848876953,0.3974809205940159,4.105143248643029,0.2912350415187986,1834,0.05429196716810943,-0.00664393978588829
543.6162,65.9020767211914,65.09329223632812,0.4267080482931995,4.103184366612651,0.2886789949188845,1838,-0.06183815130808223,-0.005294799997242454
543.7235,66.27339935302734,65.32145690917969,0.4630694516575691,4.093295058852401,0.2831418648964455,1843,-0.0515830413094534,-0.0183744308621763
543.8297,66.6343765258789,65.56063842773438,0.498664663576323,4.092171387293085,0.280291094301104,1848,0.005077621906645108,-0.02395636748288931
543.9383,66.9980239868164,65.8203125,0.53509857150137,4.094385732037948,0.278909956743929,1853,-0.018471122754960722,-0.009418072242956864
544.0285,67.28995513916016,66.04328918457031,0.5647336289005265,4.088499328089399,0.2728323143103316,1857,-0.046552276172112,-0.0016620068267605775
544.1129,67.55535125732422,66.25716400146484,0.5915728997873179,4.0862577046183,0.2647916414870281,1861,0.012445676703160565,-0.007921637967965961
544.2203,67.8886947631836,66.541015625,0.6249841198751249,4.090886408881064,0.2570725817407041,1866,0.0037797151444028928,-0.0028095341383544818
544.3158,68.18020629882812,66.80420684814453,0.6543290258735173,4.0870246088211,0.2538621491987528,1870,-0.023862107971922238,0.012890371926302303
544.4209,68.48876190185547,67.10005950927734,0.6860806305490142,4.086099670021897,0.2536910203114207,1875,0.07171357234160662,0.010100347661695668
544.5149,68.7563705444336,67.37269592285156,0.7145305812630854,4.101302781074317,0.2558308232007008,1880,0.08002703094099863,-0.001487107361468923
544.616,69.03753662109375,67.6771240234375,0.7456344385824479,4.101712943758487,0.257715079686632,1884,-0.04897113077890362,-0.0031101455054196258
544.7252,69.3292007446289,68.014404296875,0.7792333449480784,4.091004152271515,0.2577579165240674,1889,-0.07355536188870776,-0.005905921885900987
544.824,69.58235931396484,68.32699584960938,0.8095662171318628,4.086413428485638,0.257715079686632,1894,0.013630929575180896,-0.014517739656385366
544.9152,69.809326171875,68.62444305419922,0.8377593725378232,4.0935940288908,0.257586569174326,1898,0.005284478965074762,-0.014010723145724862
545.0414,70.1080322265625,69.04434967041016,0.8765653580458038,4.087562274212646,0.2574152400297854,1904,-0.07505866603498786,-0.010178870564404238
545.1267,70.2983627319336,69.33131408691406,0.9025218576102612,4.0777191210244,0.257586569174326,1907,-0.03422160451725267,-0.011285741757025387
545.2152,70.48918914794922,69.63629913330078,0.9296414927808104,4.081614559347546,0.257586569174326,1911,0.041276779964912295,-0.0029000944033716414
545.3237,70.71416473388672,70.02108764648438,0.963245126257376,4.085850646677488,0.2585719620769452,1915,0.012558778240038815,0.005194647317373204
545.4286,70.91678619384766,70.39631652832031,0.995658393305703,4.08429460262397,0.2620876958359773,1920,0.010192123260252784,-0.01397084479792383
545.5172,71.07735443115234,70.71720123291016,1.0232368578425597,4.087822822528347,0.2641905421676739,1924,0.036121673559081406,-0.045819206552085864
545.6253,71.2626724243164,71.11861419677734,1.0574512873151345,4.091399735813044,0.2656505446546279,1928,0.00861476122888933,-0.05281978601716422
545.7207,71.4154052734375,71.4798355102539,1.0878735085534912,4.0895759264384255,0.2657794010657488,1932,-0.038764890719216266,-0.04757210427904878
545.8273,71.57044982910156,71.88240814208984,1.1213797369131868,4.083569227887763,0.2657794010657488,1936,-0.05473490349297998,-0.030230651438855182
545.9321,71.70978546142578,72.28347778320312,1.1543679471513484,4.078004967840008,0.2657794010657488,1941,-0.07142805056953519,0.02608499247287606
546.0232,71.82149505615234,72.63997650146484,1.1833724012938878,4.069576472781195,0.2657794010657488,1945,-0.02649081280481461,0.14118637011703558
546.1263,71.93527221679688,73.04656982421875,1.2161396024510864,4.0728604519933125,0.2657794010657488,1949,0.1960286098365251,0.3080918307946612
546.2167,72.02277374267578,73.4012451171875,1.2445170153149667,4.107508008784557,0.2657794010657488,1953,0.47536138002168754,0.4905347002651504
546.3205,72.11163330078125,73.815185546875,1.2773995646368794,4.165175631993535,0.2657364549971088,1957,0.616828670526593,0.6821509976723931
546.4295,72.19216918945312,74.26276397705078,1.3126661757666311,4.238769149872626,0.2657794010657488,1963,0.8919241982203754,0.8561700681033574
546.5167,72.24681854248047,74.63292694091797,1.3416253395258824,4.340171159684352,0.2657794010657488,1966,1.170801788847391,0.9910134571527217
546.6246,72.30111694335938,75.10549926757812,1.378371153548848,4.467192578876781,0.2661230424356721,1971,1.3377458718355366,1.0808077106952991
546.7137,72.33386993408203,75.50788879394531,1.4095237134266454,4.603707096435956,0.2663378455996754,1974,1.3159122477427463,1.1073303889472
546.8249,72.35797882080078,76.0249252319336,1.4493856090173287,4.730769802099614,0.2663808098735162,1979,1.0767468195999688,1.094107845247533
546.9288,72.36209106445312,76.52124786376953,1.4875200784564455,4.835315337331917,0.2663808098735162,1984,1.0090338713827145,1.0645053076085467
547.0173,72.35066986083984,76.9532470703125,1.5206503100821145,4.924907918953669,0.2663808098735162,1987,0.8915405453786273,1.0465099529400912
547.1226,72.31793212890625,77.47811126708984,1.560879938285067,5.008095895026304,0.2663808098735162,1992,0.8507693091254367,1.044743025633904
547.2157,72.27090454101562,77.9498291015625,1.5967456337438162,5.093700549884149,0.2662089709833538,1997,0.9030911027904556,1.064553792896546
547.3233,72.19878387451172,78.49172973632812,1.6391410506555462,5.189346279356333,0.2662089709833538,2002,0.9842326694769818,1.1202100229274867
547.4305,72.10293579101562,79.03887939453125,1.6817687430680068,5.305113727287885,0.2663378455996754,2007,1.2515709954792558,1.1831002724198583
547.5183,72.00453186035156,79.49687957763672,1.717512717500777,5.433402623474708,0.2663378455996754,2011,1.3778994035320575,1.2434570441558195
547.6244,71.86017608642578,80.06134796142578,1.76158974795154,5.572288421632731,0.2663378455996754,2017,1.5061831783224746,1.279402632580235
547.7127,71.71708679199219,80.54035186767578,1.7996500982885688,5.726204633340728,0.2662089709833538,2021,1.5187657455660084,1.3109888185348961
547.8198,71.51371765136719,81.12996673583984,1.8467033277707927,5.869055248316252,0.2662089709833538,2027,1.3423702770115804,1.3497966965477406
547.9132,71.3110122680664,81.64503479003906,1.888636746570638,5.995349873881443,0.2659512217507105,2033,1.225707508560808,1.3637801718790148
548.0195,71.05004119873047,82.23057556152344,1.9370394996457465,6.113829037775854,0.2651781196943868,2039,1.0238831453432728,1.3446192177384986
548.1317,70.73897552490234,82.84597778320312,1.989098140396775,6.219068341139012,0.2626025389140358,2046,1.1007510472038537,1.2775591151556462
548.2185,70.47296142578125,83.31849670410156,2.0290338721286805,6.332878496169372,0.2564302294363825,2051,1.210515645888836,1.1772220464023082
548.331,70.09498596191406,83.92760467529297,2.080729823628753,6.46032410936465,0.2401162213238069,2058,1.3019711129293217,1.0460404107423196
548.4202,69.76881408691406,84.4085693359375,2.119706084998932,6.595486069647312,0.2150782445870519,2064,1.2747666002577691,0.8932969275230104
548.5205,69.3813247680664,84.9445571899414,2.1589568516984685,6.701892380113437,0.1766265484791846,2071,0.8605153682250906,0.7248964115198815
548.6253,68.95085906982422,85.50726318359375,2.193145714824579,6.771977771670292,0.1375177174439623,2078,0.5434285507833408,0.5492647257720904
548.721,68.5428237915039,86.02167510986328,2.2174947303550643,6.810849804545515,0.1009972745478397,2084,0.2221227171490254,0.3875749888388383
548.8267,68.08269500732422,86.58768463134766,2.2371460628807047,6.816713286904088,0.0661770426603629,2092,-0.0049616986204123635,0.23997129141085505
548.9209,67.67528533935547,87.08179473876953,2.248867100891334,6.809857960991295,0.035896416402036,2098,-0.08747146356074456,0.12161390600860968
549.0305,67.20645141601562,87.64955139160156,2.2557882570902863,6.798886602630408,0.0029529185546368,2106,-0.1316447152031429,0.04099145950876096
549.1222,66.81543731689453,88.127685546875,2.256043321343689,6.783357879820894,-0.0203441685056982,2112,-0.03096099056108005,0.005651761010718651
549.2127,66.43302154541016,88.60502624511719,2.2513518967674053,6.793245510150177,-0.0549118919827062,2119,0.17634964516649138,0.016533984704553854
549.3269,65.95699310302734,89.22284698486328,2.236651647024331,6.819456652186475,-0.0933619041095014,2127,0.27714660257958823,0.032718652748063334
549.4335,65.52723693847656,89.81507873535156,2.2148390261160373,6.8544394799997335,-0.1277246301987764,2134,0.25903529738578995,0.055890610742447944
549.5205,65.19096374511719,90.30846405029295,2.192783990969519,6.86960588576035,-0.1481189335517726,2140,0.06617684316425207,0.07389439660680908
549.6503,64.71759796142578,91.06310272216795,2.152690899706703,6.868786619597746,-0.1773384082400843,2149,-0.05150639136891136,0.07871283851601368
549.7171,64.48942565917969,91.45968627929688,2.129006309578678,6.859479729217223,-0.1929877080617804,2154,-0.11643723679041348,0.0623287646449292
549.8283,64.13512420654297,92.13227081298828,2.086720504632346,6.848060791449052,-0.206420433662507,2162,-0.11097790112091913,0.016725003168422625
549.9141,63.8842658996582,92.6614990234375,2.0517251697491323,6.837617082696402,-0.21503595390564,2167,-0.07724502740295633,-0.06611561773863894
